b'RT @ulfanabila97: PPKM = planga plongo kurang money';;;;;;;;;;
b'RT @KetumProDEMnew: PPKM Darurat hanya berhasil signifikan kurangi mobilitas warga, bukan turunkan jumlah kasus Covid-19.\n\nTak optimal, kok\xe2\x80\xa6';;;;;;;;;;
b'RT @Kejeffreyan: Hi guys, buku Dikta dan Hukum bisa kembali di order yaaaa. Khusus untuk penjualan kali ini, sebagian dari hasilnya akan ka\xe2\x80\xa6';;;;;;;;;;
b'@geloraco ppkm darurat lewat zoom shg mrk bs terus diedukasi dan memperbaiki performancenya. utk mrk yg dpt toleran\xe2\x80\xa6 https://t.co/YtqBRSVqxv';;;;;;;;;;
b'RT @OposisiCerdas: Satyo Purwanto: Jangan Harap Rakyat Patuhi PPKM Darurat Jika Pemerintah Tidak Patuh Jalankan UU Kekarantinaan Kesehatan\xe2\x80\xa6';;;;;;;;;;
b'RT @SantorinisSun: BREAKING NEWS!!!\nDiperpanjang 5 hari dulu...\nTanggal 26 bisa dilonggarkan apabila kasus menurun.\nKita turuti ya demi keb\xe2\x80\xa6';;;;;;;;;;
b'RT @JogjaUpdate: #sekhilafinfo\ntentang PPKM https://t.co/9BgibXd2pb';;;;;;;;;;
b'RT @jokowi: Pemerintah memutuskan untuk melanjutkan PPKM Darurat sampai 25 Juli 2021. Jika tren kasus Covid-19 terus menurun, maka mulai 26\xe2\x80\xa6';;;;;;;;;;
b'RT @alisyarief: Jangan mau dikibulin dengan judul PPKM, Ia sudah sesuai dg pasal 5, ayat 1, UU 6/2018. Negara wajib menjamin kebutuhan dasa\xe2\x80\xa6';;;;;;;;;;
b'Tentu saja rektor kampus itu nga bakal melanggar aturan ppkm, kan? Jangan sampai. Aturan ppkm kan udah bagus. Ehe.';;;;;;;;;;
b'Mohon infonya, PPKM dimakassar diperpanjang kah? Tabe \xf0\x9f\x99\x8f';;;;;;;;;;
b'Info dong kalo mau ke jogja pas ppkm gini bisa ga si';;;;;;;;;;
b'RT @PTJASAMARGA: Lokasi Pengendalian Mobilitas di Jalan Tol Jasa Marga Group Dalam Rangka Penerapan PPKM Darurat. https://t.co/CxDjxgB6OM';;;;;;;;;;
b'Udah gitu kereta Kota-Bogor cuman sampe 21.26, sedangkan gue kalo shift siang di RS kelar jam 9. Jadi ga keburu. Ja\xe2\x80\xa6 https://t.co/pGMt4BCMXn';;;;;;;;;;
b'RT @kumparan: Mendagri menerbitkan Inmendgri baru nomor 22 tahun 2021 terkait PPKM Level 4. #kumparanNEWS https://t.co/5jitXauuIa';;;;;;;;;;
"b""RT @BBCIndonesia: PPKM darurat: 'Bendera putih' warga dan janji relaksasi Jokowi di tengah pengurangan jumlah tes. https://t.co/amrZODc2V0""";;;;;;;;;;
b'RT @RestyCayaaah: PPKM lanjut sd tgl 25 . Tp semua warung makan boleh makan ditempat ,semua pedagang dan kios2 non sembako  boleh buka lagi\xe2\x80\xa6';;;;;;;;;;
b'Tambal ban online\nHp/wa 081210731513 (dki jkrt dan tangerang) https://t.co/ii2CvXCtGt';;;;;;;;;;
b'pokoe after ppkm aku checkin';;;;;;;;;;
b'SGB, Apresiasi Petugas PPKM Darurat https://t.co/iHvvk3HvLZ';;;;;;;;;;
b'Satu jam setengah di stasiun bogor. Percuma kayanya PPKM @CommuterLine';;;;;;;;;;
b'RT @na_dirs: Tgl 16 Juli 2021 Menko PKM mengatakan PPKM Darurat diperpanjang sampai akhir Juli\n\nTgl 20 Juli 2021, sampai siang hari ini Pem\xe2\x80\xa6';;;;;;;;;;
b'PPKM Diperpanjang, DPD RI Minta Penyaluran Bantuan Tepat, Cepat dan Berkeadilan https://t.co/w3XtXtQjUO';;;;;;;;;;
b'RT @datukpancilok: &amp;;;;;;;;;;
b'Penyembelihan &amp;;;;;;;;;;
b'RT @henrysubiakto: Presiden mengumumkan, tak ada lokdown. PPKM dikendorkan mulai 26 Juli.  Pasar, toko2 kelontong, pedagang pinggir jln dll\xe2\x80\xa6';;;;;;;;;;
b'PPKM = punya pacar kok miris';;;;;;;;;;
b'RT @QaillaAsyiqah: Aksi Tolak PPKM dari Aliansi Sosial Justice di Rangkasbitung, Kabupaten Lebak, dibubarkan oleh Aparat kepolisian.. (19/J\xe2\x80\xa6';;;;;;;;;;
b'Ini ppkm apa seblak, pake segala level - levelan.. \xf0\x9f\x98\x8c https://t.co/JxsrERHVem';;;;;;;;;;
b'@geloraco PPKM darurat tetap hrs proposional dan fleksibel shg tdk menimbulkan korban ppkm baru terutama kelaparan.\xe2\x80\xa6 https://t.co/abpi9oeXuI';;;;;;;;;;
b'@idpdntwmn @jogmfs Wkwk ga boleh kemana2 lagi isoman yg didukung ppkm \xf0\x9f\xa4\xa3';;;;;;;;;;
b'RT @myozchyme: Dear : Mahasewa\n\nKalian hny sampah politik yg diberi predikat MAHASISWA diblk jas almamater kalian.\n\nJokowi tdk gagal, tapi\xe2\x80\xa6';;;;;;;;;;
b'RT @susipudjiastuti: Luhut: Tak Ada Lagi Istilah PPKM Darurat, Mulai 26 Juli Kita Pakai Level 1-4 - https://t.co/fqnRiWsdg1 https://t.co/la\xe2\x80\xa6';;;;;;;;;;
"b'RT @BiLLRaY2019: PPKM Darurat Diperpanjang..!\n\nPemerintah akan melakukan ""PEMBUKAAN SECARA BERTAHAP"" mulai tanggal 26 Juli 2021\n\n#PPKMDarur\xe2\x80\xa6'";;;;;;;;;;
b'RT @KompasTV: YLBHI: Pemerintah Pakai Istilah PSBB hingga PPKM untuk Hindari Kewajiban Penuhi Kebutuhan Warga https://t.co/DMYbXkfGKk https\xe2\x80\xa6';;;;;;;;;;
b'Aku sabar nunggu ppkm rampung :)';;;;;;;;;;
b'@sim_sus @datuakrajoangek Yg sesuai apa ya? Ppkm banyak yg ngeluh, lockdown pasti chaos...';;;;;;;;;;
b'@panggilajanata @Ivodewimarista Deg degan gara-gara PPKM Ivo mah,\nTakut dibubarin satgas';;;;;;;;;;
b'RT @ruhutsitompul: Dulu Partai Demokrat berjaya, krn  Tokoh2 didalamnya berkwalitas contohnya Kyai yg lagi memberi Ceramah ini Sahabat Aku\xe2\x80\xa6';;;;;;;;;;
b'RT @Tukang_ngatroxx: KPK G BOLEH IKUT PPKM.\nTRS DONG KEJAR PARA KORUPTOR DANA COVID 19.\nINGET MUSUH UTAMA RAKYAT&amp;;;;;;;;;;
b'RT @desta80s: Nanti kalo ppkm udah diperlonggar.. ke depan nya bikin aturan aja yg mau log in sosmed, twitter dan instagram wajib upload se\xe2\x80\xa6';;;;;;;;;;
b'Berikut pernyataan lengkap Presiden Jokowi soal perpanjangan PPKM Darurat ini. https://t.co/rU94Wuc2KN';;;;;;;;;;
b'Bingung mau kemana psbb ganti sampul ppkm, dan uu nya sama kekarantinaan. \nYg bang psbb dan ppkm bukan karantina si\xe2\x80\xa6 https://t.co/O7ReNqHukS';;;;;;;;;;
b'Kegiatan sambang  menyampaikan himbuan Kamtibmas dan giat patroli (PPKM) Mikro di  wilayah hukum Polsek Mijen.\xe2\x80\xa6 https://t.co/bIhkRIE7qM';;;;;;;;;;
b'RT @ppkm202: BANSOS MANA BANSOS \xf0\x9f\xa7\x90\xf0\x9f\xa7\x90 \n\nUdah banyak korban yang tumbang akibat PPKM dan keserkahan pemerintah \xf0\x9f\x98\xa3';;;;;;;;;;
b'RT @__Sridiana_3va: Bansos ?\nCleaning servis saya cerita,akhirnya bansos turun,300ribu utk 3 bulan\nAda tetangga cerita dpt 600ribu utk 2 bu\xe2\x80\xa6';;;;;;;;;;
b'Ada sebuah aturan yang menggelitik saya di PPKM Darurat versi 2.0.\n\nWarung makan di ruang terbuka diizinkan buka sa\xe2\x80\xa6 https://t.co/kWSFTm0eyo';;;;;;;;;;
b'RT @UmarChelsea_75: PPKM pakai jilid 1-4 kayak judul sinetron tersanjung dari jilid satu sampai habis. Apa kalian tahu apa yg dikerjakan pe\xe2\x80\xa6';;;;;;;;;;
b'Pgn nonton ayah okin please di broker ngide bgt ppkm diperpanjang';;;;;;;;;;
b'BANSOS MANA BANSOS \xf0\x9f\xa7\x90\xf0\x9f\xa7\x90 \n\nUdah banyak korban yang tumbang akibat PPKM dan keserkahan pemerintah \xf0\x9f\x98\xa3';;;;;;;;;;
b'RT @Penyair_Berdiri: #TolakLalatPolitisasiPandemi\n\nBetul PPKM darurat diperpanjang\nBetul Bansos banyak yg belum tepat sasaran\nBetul Vaksin\xe2\x80\xa6';;;;;;;;;;
b'RT @eko_kuntadhi: Mereka yang punya tabungan ngotot lockdown. \n\nMereka yang mengais rezeki harian berteriak minta PPKM disudahi. \n\nKaum nge\xe2\x80\xa6';;;;;;;;;;
b'@Nadjib_178 @BatinDuansa @Ha_We62 @Haryzain3 @RstmBcl @WLenke @LekMarteg @SriMujiAstuti8 @Just_Aya9 @ChaeroniNiniex\xe2\x80\xa6 https://t.co/gkGzyK4aHN';;;;;;;;;;
b'jadi pengen steak21 AYCE. tapi lagi PPKM level belum tau di Medan. hmm https://t.co/WXThmhcQl1';;;;;;;;;;
b'RT @Nafaradesign: #presidenterburukdalamsejarah\nPPKM=PlongaPlongoKagakMikir https://t.co/kiJwVoMk6m';;;;;;;;;;
b'RT @herry_zudianto: Agar PPKM Darurat sukses :\n1. Pemerintah terus ingatkan Masyarakat untuk kurangi mobilisasi dan perketat melakukan 5M\n2\xe2\x80\xa6';;;;;;;;;;
b'RT @perupadata: Presiden mengumumkan peepanjangan PPKM Darurat hingga 25 Juli. Sejumlah bantuan dan insentif disebut akan mulai diberikan p\xe2\x80\xa6';;;;;;;;;;
b'RT @detikcom: Ngurah Kade Mahardika menjelaskan lonjakan kasus COVID saat PPKM darurat. Menurutnya, hal itu disebabkan kondisi beberapa min\xe2\x80\xa6';;;;;;;;;;
b'Surat tugas ppkm buat naik krl benar adanya \xf0\x9f\x99\x82 efek sebulan gak ngantor';;;;;;;;;;
"b'RT @kumparan: ""Jadi kita nggak pake istilah darurat lagi. Pakai level saja. kita sekarang kategorikan itu jadi level 1, level 2, level 3, l\xe2\x80\xa6'";;;;;;;;;;
b'RT @Penyair_Berdiri: #TolakLalatPolitisasiPandemi\n\nBIN turun tangan BERI contoh PEMDA &amp;;;;;;;;;;
b'@fdlhyt hahahah suruah si dor tu kakos ndk do gai ppkm do \xf0\x9f\x99\x82';;;;;;;;;;
b'Kenapa sih kereta 6.35 Depok - Jakarta Kota harus dibatalin selama PPKM\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad padahal itu kereta meringankan hidup say\xe2\x80\xa6 https://t.co/PGWSSybE0E';;;;;;;;;;
"b""RT @salimafillah: Pemerintah saja rela berkorban mengganti istilah 'Karantina Wilayah' dalam UU Karantina Kesehatan dengan 'PSBB', 'PSBB Mi\xe2\x80\xa6""";;;;;;;;;;
b'RT @dr_koko28: PPKM diperpanjang? Saya kurang paham esensinya apa. Jadi gak komentar banyak.\n\nYang saya minta ke teman2 palingan hal2 yang\xe2\x80\xa6';;;;;;;;;;
b'@sentrisman Kalo lokdon ntar orang2 pada mudik kaya di india. Sebelum PPKM berlaku orang2 udah datengin bandara';;;;;;;;;;
b'RT @kalla_jengking: Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan menyampaikan pesan agar per\xe2\x80\xa6';;;;;;;;;;
b'RT @Even1508: BREAKING NEWS!!!\nPPKM Darurat Diperpanjang 5 hari.. Tgl 26 juli bisa dilonggarkan apabila kasusnya menurun.\nKita turuti ya de\xe2\x80\xa6';;;;;;;;;;
b'RT @CNNIndonesia: 3 Orang Ditangkap usai Tuntut Negara Tanggung Jawab PPKM https://t.co/HGuVQKKvvx';;;;;;;;;;
