b'@Sunda_Fess buka tp kan lagi ppkm jd gaboleh dine in';;
b'RT @asumsico: Pedagang dan tukang jasa service handphone di PGC Cililitan, Jakarta Timur, turun ke jalan untuk mencari pelanggan.\n\nDiketahu\xe2\x80\xa6';;
b'RT @tempodotco: Satgas Covid-19: Selama PPKM Mobilitas Turun Tapi Kasus Meningkat https://t.co/D2VJtFrz1G #TempoNasional';;
b'RT @Bimo_KY: PPKM fix diperpanjang? Yaudah kesempatan banyakin waktu sama Eya, seperti biasa kelas kombinasi, kali ini mengenal hewan sambi\xe2\x80\xa6';;
b'@marchteaa Tapi denger denger si KUA nya tutup ppkm suru onlen aja katanya\xf0\x9f\x99\x82';;
b'RT @sub80_: Bismillah fak ppkm. gua mau jual semua koleksi pribadi. 50rb/pcs ambil 3 gua kasih free ongkir se-Indonesia. bantu rt bang @iam\xe2\x80\xa6';;
b'RT @Aline_Y_Tan: Cebong Lapar \xf0\x9f\xa4\x94\nGak Punya Uang Akibat PPKM \xf0\x9f\xa4\x94\nGampang Solusinya : Berbaring Di Jalan Tol-Lol \xf0\x9f\x98\x82';;
b'RT @BossTemlen: Jgn ikut-ikutan nyebarin video dwi tanjung itu, itu template sama utk semua buzzeRp, mulai dari denny siregar minta PPKM ga\xe2\x80\xa6';;
b'RT @tempodotco: Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan meminta maaf kepada rakyat Indonesia jika PPKM\xe2\x80\xa6';;
b'@seroja_merah @govindajaya4 @KiranaAntaresia @20_Foxtrot @AyamSegar3 @Pakde_yan @RerCrown @IndoCora @Mas_Parjo_\xe2\x80\xa6 https://t.co/WX8PoJePI2';;
b'Ppkm kabeh prei kecuali angsuran, sutenan.';;
b'RT @satriohendri: Menteri Jokowi ada 34, Kepala Lembaga di bawah Presiden lebih dari 15, tapi yang sering tampil ke publik paling sekitar 1\xe2\x80\xa6';;
b'RT @musniumar: PPKM Darurat, rakyat dicegat dimana-mana utk cari nafkah. Sementara tdk disediakan sembako yg cukup. Sembako diberikan pemer\xe2\x80\xa6';;
b'Pendek aja bikin gaduh apalagi di perpanjang...(ppkm)';;
b'Jgn dibuat gini dong:( emg mau ppkm selama itu?:( Becandaannya ga lucu lah.. https://t.co/LAt0OOZVZq';;
b'#infopolsekbadau\n@poldababel\n. . .\nKapolri bersama Panglima TNI terjun blusukan mendatangi rumah warga yang terdamp\xe2\x80\xa6 https://t.co/JMWOE9orgn';;
b'RT @marlina_idha: Luhut Minta Maaf ke Rakyat, PPKM Darurat Jawa-Bali Belum Optimal\n\nSportif \xf0\x9f\x91\x8d penggantinya siapa? https://t.co/FplVCfQpbz';;
b'RT @alisyarief: Para Buzzer pun mulai minta @jokowi menghentikan ppkm. Makin tampak, Siapa memerankan apa.';;
b'RT @suryadelalu: Luhut meminta maaf atas kurang optimalnya PPKM.\n\nPermintaan maaf dg rendah hati tersebut diterima oleh Luhut. \n\nUntuk sela\xe2\x80\xa6';;
b'@SmgMenfess2 Meh do ngomong ppkm rak ki?';;
"b'"" Seperti yang terjadi saat ini yaitu PPKM "" ( Pertama Peduli Kemudian Menghilang ) \n\nKarawang , 18 Juli 2021'";;
b'PPKM diperpanjang,sayang akunya diperpanjang juga ga?';;
b'@pngfess mbok ya ngrumangsani sitik ngono ya, wes jelas enek aturan ppkm. trahe wong ngeyel arep koyo ngopo panggah ngeyel\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb';;
b'PPKM Pulihkan Bangsa https://t.co/BknU9Thqia';;
b'Dalam rapat tersebut juga dibahas rencana perpanjangan PPKM Darurat dan Mikro di Indonesia. #EfekNyataPPKMDarurat https://t.co/Ihup2rIppZ';;
b'Dalam pelaksanaan PPKM darurat ini, Kapolri menyatakan bahwa Polri akan membantu memberikan bantuan sosial kepada w\xe2\x80\xa6 https://t.co/KZTesKMbGl';;
b'Kegiatan PPKM Darurat, Pembatasan Mobilitas Masyarakat dan Pemberian Bantuan Sosial PPKM kepada Masyarakat yang ter\xe2\x80\xa6 https://t.co/Sbb2juvEpn';;
b'@BossTemlen Ya setuju sekali! Dengan perpanjangan PPKM InshaaAllah akan mempercepat lengsernya rezim.... Lalu bgmn\xe2\x80\xa6 https://t.co/J5nt8iMhT6';;
b'@KompasTV Ga usa ppkm patuhi prokes cukup';;
