b'RT @cakbulla: @KOTAK_1ndonesia @Pencerah__ Sampai saat ini gak habis pikir dan masih heran dengan sikap pemda/pemkab/pemkot yg didaerahnya\xe2\x80\xa6';;;;;
b'RT @UyokBack: Dari PSBB ~&gt;;;; PPKM DARURAT ~&gt; PPKM Level 1 sd 4.\n\nPenanganan wabah seba\xe2\x80\xa6'
"b'Sinih gw bisikin...\nTgl 20 Juli 2021,, Saat Takbir Menggema ""\xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa7\xd9\x83\xd8\xa8\xd8\xb1""\nSaat kita PPKM DARURAT, dan Shalat IDUL ADH\xe2\x80\xa6 https://t.co/iIjLSnQaN9'";;;;;
b'RT @DedekLagiAjaa: Akibat aturan yg gak jelas tanpa solusi dg PPKM diperpanjang.. \n\nUpkeun tagarnya. \n#PakdeMenclaMencle\n#PakdeMenclaMencle\xe2\x80\xa6';;;;;
b'RT @Zahrah40291660: Tagar Presiden Terburuk dalam Sejarah Trending, Warganet Kecewa PPKM Darurat Diperpanjang\nhttps://t.co/UoYjl9OXxU';;;;;
b'RT @BlackNostalghia: @SPlandemic Padahal yg jadi penyakitan atau tewas setelah Vaksin banyak banget, sedangkan yg penyakitan atau tewas kar\xe2\x80\xa6';;;;;
b'RT @umaralims: PPKM merampas hak Ibadah Umat Islam... https://t.co/rZVcKpIrFr';;;;;
b'RT @MCAOps: Ketua PA 212 membagikan ratusan paket makanan bagi terdampak PPKM mulai dari yatim piatu, pekerja informal, medis sampai anggot\xe2\x80\xa6';;;;;
b'RT @bukalapak: \xe2\x9c\xa8Di saat PPKM ini, yuk saling bantu sesama \xe2\x9c\xa8\n\nUntuk kamu para UMKM, silakan #gelarlapak jualan kalian di tweet ini ya!\n\nTeta\xe2\x80\xa6';;;;;
b'RT @Witri_TheWriter: 1. Hay Tweeps, siang jelang sore... Kalian sudah tahu belum kalau PPKM Darurat diperpanjang sampai tgl 25 Juli? Kira2\xe2\x80\xa6';;;;;
b'RT @ulfanabila97: PPKM = planga plongo kurang money';;;;;
b'RT @Ochi_Queen09_2: @Ochi_Queen09_1 Demo ojol menolak ppkm Bandung\n\nhttps://t.co/9SZLqW7D8w';;;;;
b'RT @JeromePolin: Nama psbb/ppkm diganti, emangnya ngefek ke mana sih?';;;;;
b'RT @ZAEffendy: 21 Juli 2021: Aksi menolak PPKM oleh ratusan massa gabungan pelajar, mahasiswa, pedagang, dan ojol di Kawasan Balai Kota, Jl\xe2\x80\xa6';;;;;
b'RT @Hilmi28: Yg mau PPKM diakhiri apa hrs rektor UI dulu yg melanggar aturannya ? Atau yg mau covid segera minggat apa perlu...ckp jgn dite\xe2\x80\xa6';;;;;
b'RT @FiersaBesari: PPKM dikasih level, emang Boncabe';;;;;
b'RT @KRMTRoySuryo2: Terimakasih Atensi &amp;;;;;
b'RT @keuangannews_id: GMNI Membeberkan Kebohongan Presiden ketika Mengumumkan Perpanjangan PPKM\xc2\xa0Darurat https://t.co/x47ws6fzx3';;;;;
b'RT @indostruggles: ppkm atau menu richeese https://t.co/P3ifmhB1tU';;;;;
b'Mari kita lihat apakah kereta pagi sepadat seperti sebelum ppkm? \xf0\x9f\x98\x82';;;;;
b'Ini akibat pemerintah menerapkan PPKM, tapi rakyat tidak dijamin kebutuhannya. Mereka bisa mati.\n\nKH Hafidz Abdurra\xe2\x80\xa6 https://t.co/3PSCsANddo';;;;;
b'@CNNIndonesia Jangankan PPKM, dsuruh pakai masker masih banyak yg ngeyel. Sok peduli dg nakes tapi kelakuan sebalik\xe2\x80\xa6 https://t.co/3bG6wOwpHP';;;;;
b'RT @DrTaufan1: Penolakan PPKM berlanjut.\n\nRakyat lapar. https://t.co/3gfDlppWKn';;;;;
b'RT @susipudjiastuti: Luhut: Tak Ada Lagi Istilah PPKM Darurat, Mulai 26 Juli Kita Pakai Level 1-4 - https://t.co/fqnRiWsdg1 https://t.co/la\xe2\x80\xa6';;;;;
b'Masyarakat Papua menyambut gembira disahkannya UU Otsus Papua\nPPKM Pulihkan Rakyat https://t.co/EkMTjHWNsJ';;;;;
b'RT @jek___: istilah ppkm darurat diubah nama lagi jadi ppkm level 4\n\nkalo udah pake level gini ngeri nih, biasanya level terakhir lawannya\xe2\x80\xa6';;;;;
b'PPKM tapi bandara masih dibuka WKWK';;;;;
b'ppkm bkin gue kedubrugan aja, rajin pagi2 uda masak nasi wkwk';;;;;
"b""RT @ukhty_onya: PA 212 akan meluncurkan \n'Program Peduli Guru Ngaji' \nyang dimulai pada tanggal 23 Juli 2021. \n\nTujuan kegiatan ini adalah\xe2\x80\xa6""";;;;;
b'RT @mylovelyb33: Ibu kota periangan menggugat\n\nTolak PPKM DARURAT\nPemuda literasi dan ojek online Turun ke jalan \n\n*Bandung lautan api \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xe2\x80\xa6';;;;;
b'RT @briannrii: @txtdrpemerintah PPKM Level 4.0\nPPKM Level 5G\nPPKM Final version\nPPKM final fix bismillah\nPPKM final fix bismillah terakhir\xe2\x80\xa6';;;;;
b'Daerah yang menerapkan PPKM Level 3-4 di Jawa dan Bali yaitu tentang PPKM Level 4 #EfekBaikPPKMDarurat https://t.co/f34jKwAYXj';;;;;
b'RT @JossBangJago: Yuk PPKM (Para Pejuang Kita Mutualan) \n\n\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n@NRamadh4n \n\nKakak syantieexx yg baik hati';;;;;
b'RT @narkosun: Kelakuan kayak gini kok mau pandemi selesai...\n\nInfonya ini demo para pedagang, mahasiswa di Bandung yg menolak PPKM. \n\n\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5 ht\xe2\x80\xa6';;;;;
b'RT @poconghypebeast: Istilah - istilah di masa pandemi\n\nPSBB \nPSBB Total\nPSBB Transisi\nPPKM\nPPKM Mikro\nPPKM Darurat\nPPKM Level 1\nPPKM Level\xe2\x80\xa6';;;;;
b'RT @starbyeolhoshi: @AREAJULID Lo nanya ppkm apaan? Yak ppkm adalah pukul pala kau monyet';;;;;
b'Sejumlah daerah di Pulau Jawa dan Bali kini sedang berstatus PPKM level 3 dan juga 4 #EfekBaikPPKMDarurat https://t.co/QcrXX2EzEv';;;;;
b'RT @mawakresna: Ini cerita yang asik sekali, dan sekaligus membuka mata, siapa penyebab orang-orang tak percaya covid, menolak vaksin dan p\xe2\x80\xa6';;;;;
b'Bhayangkara Berbagi dan Peduli\n\nSebagai bentuk kepedulian kepada sesama, Polri membagikan bantuan sosial paket semb\xe2\x80\xa6 https://t.co/XgkK8CIrNf';;;;;
b'#MostPopuler PPKM Level 4 Berlaku, Ini Syarat Perjalanan Pakai Mobil Pribadi https://t.co/vBKwnNGDUB';;;;;
b'RT @GusAndri1982: Sahabat.. PPKM hanya menutup rejekimu dari sebagian pintu darat saja, sedangkan pintu langit selalu dibuka oleh dzat pemb\xe2\x80\xa6';;;;;
b'RT @detikcom: Burhanuddin meminta jajarannya tidak salah pilih dalam menerapkan sanksi bagi pelanggar PPKM, ada sanksi ringan hingga berat\xe2\x80\xa6';;;;;
b'Polsek Ngadirojo bersinergi bersama Koramil Ngadirojo laksanakan giat himbauan Kamtibmas serta Penerapan PPKM Darur\xe2\x80\xa6 https://t.co/vmy3a2XuBT';;;;;
b'PPKM Darurat diperpanjang sampai 25 Juli\nPPKM Pulihkan Rakyat https://t.co/lZhLnsv2Vi';;;;;
b'RT @PutraWadapi: Baru ada di Indonesia utk mengatasi pandemi corona saja hrs gonta Ganti Nama Pembatasan Corona mulai dr PSBB, PPKM, PPKM D\xe2\x80\xa6';;;;;
b'Level PPKM Versi Toyota\nPPKM TRIM E M/T\nPPKM TRIM E A/T\nPPKM TRIM G\nPPKM TRIM VELOZ\nPPKM TRIM TRD SPORTIVO\nDaihatsu\xe2\x80\xa6 https://t.co/Q7HJ3aaWql';;;;;
"b""Pemerintah tidak menggunakan istilah 'PPKM darurat' dalam penanganan COVID-19 #EfekBaikPPKMDarurat https://t.co/jaEKZkjKoQ""";;;;;
b'Kalo dari data yg dipaparkan ini, masa sebelum PPKM, kasus nya malah hampir 0 (liat di idul fitri), ini ga ada pemb\xe2\x80\xa6 https://t.co/ZyqbwwzDmN';;;;;
b'Penyaluran Bantuan sosial Aslog Polri di masa PPKM Darurat oleh Bhabinkamtibmas Desa Sidorejo BRIPKA Lilik Mujiyant\xe2\x80\xa6 https://t.co/E6796HXuwr';;;;;
b'RT @FaisalBasri: Kok tak kapok-kapok obral istilah? Terus saja melakukan hal yg serupa berulang-ulang mendambakan hasil yang berbeda. Kata\xe2\x80\xa6';;;;;
b'PPKM level 3 Dan 4 \xf0\x9f\x99\x88\xf0\x9f\x99\x88.. karunya masyarakat level menengah ke bawah \xf0\x9f\x99\x88';;;;;
b'PPKM \nBelajar online,,tenang guyss ,,\nPake IndiHome study lebih gampang \nJadi tenang kann... https://t.co/DNmUWDNjN4';;;;;
b'OK, kemaren rame anak menteri yg ketauan honeymoon di luar negeri itu kyknya emg gasalah deh. Ada digital artist ya\xe2\x80\xa6 https://t.co/2AcT1gqJcO';;;;;
b'RT @mydayfess: mdf ppkm : pengen peluk kak msungjin https://t.co/ytnHxLE4IP';;;;;
b'RT @JumaherAjalah: Efektivitas PPKM Darurat arahan gus Menteri\n#ManfaatDanaDesa2021\n@halimiskandarnu\n@Kemendespdtt\n@malik_haramain\n@imansyu\xe2\x80\xa6';;;;;
b'RT @fadlizon: Tanggapi Istilah PPKM Level 4, Ini Komentar Fadli Zon dan Faisal Basri - Pikiran Rakyat Cirebon https://t.co/n328GOO0LS';;;;;
b'RT @alvinlie21: Mau Ganti Pakai PPKM Berlevel Pun Sia-sia, Kalau Gerbang Perbatasan Menganga\n\nhttps://t.co/9ANykjXcVU';;;;;
b'RT @dwikimic: Ppkm pake level levelan kek boncabe aja';;;;;
b'ppkm : pagi pagi kangen mbin :) https://t.co/X0RARlbYN9';;;;;
b'@FauzanMusthofa Namanya juga lapar :) ppkm kalik';;;;;
b'/wal ppkm ya? \xf0\x9f\x98\x87\xf0\x9f\x99\x8f';;;;;
b'Syarat Terbaru Naik Kereta Api Saat PPKM, Simak di Sini! https://t.co/3mkT7GrLlU';;;;;
b'Silahkan PPKM berjilid ataupun berlanjut pak @jokowi , Tapi tutup juga tagihan BANK, PDAM, Listrik. \n\nUrusan perut\xe2\x80\xa6 https://t.co/8RdkKrEd8E';;;;;
b'RT @handokotjung: PPKM level 4 kalau di daerah PIK jadinya PPKM level 3A.';;;;;
b'Istilah Kedaruratan PPKM Diubah, PKS: Yang Penting Rakyat Bisa Makan!\nhttps://t.co/8XykQCvlzL';;;;;
b'PBMA Pahami Kebijakan Perpanjangan PPKM Darurat Jawa-Bali https://t.co/eb5qiB0lNa';;;;;
b'@traveloka Istirahat\nApa PPKM kaga cukup ya, kenapa nemunya istirahat\xf0\x9f\x98\x86';;;;;
b'RT @SRufamin: Demo tolak PPKM dengan melanggar peraturan PPKM ya sama saja memperpanjang PPKM itu..\n\nMbok ya kalau ga setuju menahan diri b\xe2\x80\xa6';;;;;
b'RT @Herex_donk: Di PPKM ini bengkel kami menerima panggilan, soal e bien pernah menerima kamu apa adanya koe e malah mblenjani https://t.co\xe2\x80\xa6';;;;;
b'RT @ainunnajib: Malu.\n\nGresik, dan keseluruhan Jawa Timur \n\nmenutup-nutupi angka kematian dan kasus\n\nEvaluasi PPKM jangan pakai data palsu\xe2\x80\xa6';;;;;
b'Masyarakat mendukung percepatan penanganan Covid-19, sinergitas antara lembaga pemerintah bantu percepatan penangan\xe2\x80\xa6 https://t.co/PWKX12Lgnj';;;;;
b'Personil Polsek Srandakan dipimpin Panit Sabhara Aiptu Kusfajar SH laksanakan giat KRYD dan PPKM Darurat antisipasi\xe2\x80\xa6 https://t.co/h0WQLWBFMU';;;;;
b'Demo Tolak PPKM Bergemuruh di Bandung: Pelan-pelan Kita Mati\n\n https://t.co/3JWxnWrxjZ';;;;;
b'1,5 th via online pertemuan kami. Bosan? Banget. Tapi demi kami taat pada aturan pemerintah apalagi PPKM. Pemerinta\xe2\x80\xa6 https://t.co/VNNarrioEh';;;;;
b'@zarazettirazr @CNNIndonesia Jelas kan mbak \nPPKM ( plin plan keputusan mu) level 4 (super pedas)';;;;;
b'@poconghypebeast PPKM pedes banget gila gangerti lagi mo meninggoy';;;;;
b'@romaanpicisan Hihihi gemoyyy pisannn.\nKapan yaa huhu. Ppkm teross bikin kangen. Jadi mau nangis teros \xf0\x9f\x98\xad';;;;;
b'Bebas kok tapi ppkm level hardcore https://t.co/myHUAJ3LMo';;;;;
b'@dazzleiea @handokotjung PPKM variant';;;;;
b'RT @KompasTV: Beragam Istilah Pembatasan Sosial, dari PSBB, New Normal, Hingga PPKM Berlevel https://t.co/uUWojzPhLP https://t.co/BV4jvmTVia';;;;;
b'PPKM Hingga 25 Juli https://t.co/J33v5CAC35';;;;;
b'@nameisnoval Nih kalah gak tau ppkm, semoga membantu \xf0\x9f\x99\x8f https://t.co/QcB9pMLEPd';;;;;
b'PPKM itu sebenernya membatasi orang yang makan ditempat atau melarang orang berjualan??\nDan kenapa jam dagang juga\xe2\x80\xa6 https://t.co/Q7BRmyzPgu';;;;;
b'RT @yosnggarang: Testing covid turun 68 %,lalu ganti istilah dari PPKM darurat ke istilah level. Udah kaya Kecap,apapun namanya rasanya tet\xe2\x80\xa6';;;;;
b'Ada PPKM Darurat, Bromo Ditutup Hingga 25 Juli https://t.co/VejBRGPvhJ';;;;;
b'ih ada yg blg ppkm kyk level richeese jd pengen richeese kan';;;;;
b'RT @mylovelyb33: Sejumlah peserta aksi tolak PPKM DARURAT Bandung \nDiamankan oleh aparat kepolisian https://t.co/lO9o0gpS2R';;;;;
